Artista,Nombre,Album,Imagen del Álbum,Popularidad,Duración (ms),Año de Lanzamiento
Taylor Swift,Holy Ground (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,71,202960,2021-11-12
Taylor Swift,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,72,284773,2021-11-12
Taylor Swift,The Lucky One (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,70,240466,2021-11-12
Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,76,245426,2021-11-12
Taylor Swift,Starlight (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,70,220413,2021-11-12
Taylor Swift,Begin Again (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,73,238866,2021-11-12
Taylor Swift,The Moment I Knew (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,70,285280,2021-11-12
Taylor Swift,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,73,223333,2021-11-12
Taylor Swift,Girl At Home (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,68,220520,2021-11-12
Taylor Swift,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,67,321640,2021-11-12
Taylor Swift,Fearless (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,85,241591,2021-04-09
Taylor Swift,Fifteen (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,72,294419,2021-04-09
Taylor Swift,Love Story (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,82,235766,2021-04-09
Taylor Swift,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,71,254254,2021-04-09
Taylor Swift,White Horse (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,72,234515,2021-04-09
Taylor Swift,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,87,231124,2021-04-09
Taylor Swift,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,69,263377,2021-04-09
Taylor Swift,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,68,200575,2021-04-09
Taylor Swift,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,70,261842,2021-04-09
Taylor Swift,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,83,243136,2021-04-09
Taylor Swift,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,73,225328,2021-04-09
Taylor Swift,The Best Day (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,67,245290,2021-04-09
Taylor Swift,Change (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,66,279359,2021-04-09
Taylor Swift,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de,68,237580,2021-04-09
